Method_Label,stat,p_value
No Sound,0.6549729794835846,5.613159625797525e-05
Discrete Exponential,0.820409336421769,0.0051506680023677
Continuous Exponential,0.9582522386236453,0.6302118587989509
Continuous Linear,0.7773202152881518,0.0013826425015208963
Discrete Linear,0.7857631094782778,0.001773207056930187
