Method_Label,stat,p_value
音無し,0.9612668574412708,0.05427034091919365
離散指数,0.8850173169583955,3.9056196654162715e-05
連続指数,0.8627253279207276,7.385620314021609e-06
連続線形,0.982853180118304,0.5602744617433941
離散線形,0.9621365114005467,0.05987307538027424
