Comparison,stat,p_value,effect_size_r,p_value_bonferroni,significant
D&E vs No Sound,307.0,7.610625909828224e-06,-0.5778303474209173,3.0442503639312896e-05,True
C&E vs No Sound,188.0,8.704252796308214e-08,-0.6909254318667879,3.4817011185232855e-07,True
C&L vs No Sound,529.0,0.004489076235714239,-0.3668462403034114,0.017956304942856955,True
D&L vs No Sound,540.0,0.00576950931047058,-0.356392072833625,0.02307803724188232,True
