Comparison,stat,p_value,p_value_bonferroni,significant
Dense vs Sparse,23950.0,1.1648835728401732e-28,3.4946507185205196e-28,True
Dense vs NoSound,3187.0,6.245499553476489e-72,1.873649866042947e-71,True
Sparse vs NoSound,10354.0,1.0238593497935079e-54,3.071578049380524e-54,True
