Comparison,stat,p_value,effect_size,p_value_bonferroni,significant
Dense vs Sparse,44297.0,1.0115413816740507e-05,92.28541666666666,3.034624145022152e-05,True
Dense vs NoSound,15026.0,8.669180858553849e-45,31.304166666666664,2.6007542575661544e-44,True
Sparse vs NoSound,32114.0,3.7150618888443366e-17,66.90416666666667,1.114518566653301e-16,True
